MapInfo 0x00: 0x090000, 0x0362
MapInfo 0x01: 0x0A6D0F, 0x005B
MapInfo 0x02: 0x0A31EC, 0x0132
MapInfo 0x03: 0x09BFBD, 0x020B
MapInfo 0x04: 0x095BF8, 0x0294
MapInfo 0x05: 0x08BCFB, 0x04E4
MapInfo 0x06: 0x0936AE, 0x02CB
MapInfo 0x07: 0x0A0698, 0x01A2
MapInfo 0x08: 0x0A2A7A, 0x014D
MapInfo 0x09: 0x0A52B8, 0x00DA
MapInfo 0x0A: 0x08D75E, 0x03C2
MapInfo 0x0B: 0x098000, 0x0269
MapInfo 0x0C: 0x099066, 0x0246
MapInfo 0x0D: 0x0A6A27, 0x0074
MapInfo 0x0E: 0x0A62C8, 0x00A3
MapInfo 0x0F: 0x0A56DE, 0x00CE
MapInfo 0x10: 0x08B2C5, 0x0543
MapInfo 0x11: 0x098724, 0x0258
MapInfo 0x12: 0x09A478, 0x022A
MapInfo 0x13: 0x095963, 0x0295
MapInfo 0x14: 0x092B47, 0x02E1
MapInfo 0x15: 0x0A4B7C, 0x00EF
MapInfo 0x16: 0x0A5C53, 0x00C1
MapInfo 0x17: 0x0A4097, 0x010F
MapInfo 0x18: 0x0933E0, 0x02CE
MapInfo 0x19: 0x09AF3A, 0x0218
MapInfo 0x1A: 0x094C54, 0x029F
MapInfo 0x1B: 0x0919AF, 0x02FE
MapInfo 0x1C: 0x08EA01, 0x039E
MapInfo 0x1D: 0x0A30B9, 0x0133
MapInfo 0x1E: 0x0A4D58, 0x00EB
MapInfo 0x1F: 0x0A27D4, 0x0156
MapInfo 0x20: 0x0A23C2, 0x0161
MapInfo 0x21: 0x0A0000, 0x01A9
MapInfo 0x22: 0x09BBA3, 0x020D
MapInfo 0x23: 0x0A1505, 0x0189
MapInfo 0x24: 0x0A3E73, 0x0114
MapInfo 0x25: 0x0A1E17, 0x0175
MapInfo 0x26: 0x09897C, 0x0251
MapInfo 0x27: 0x09DB55, 0x01E4
MapInfo 0x28: 0x09C5D7, 0x0205
MapInfo 0x29: 0x09D787, 0x01E8
MapInfo 0x2A: 0x09778B, 0x026F
MapInfo 0x2B: 0x0A621E, 0x00AA
MapInfo 0x2C: 0x08A75A, 0x05EB
MapInfo 0x2D: 0x0A137B, 0x018A
MapInfo 0x2E: 0x093979, 0x02BD
MapInfo 0x2F: 0x08D380, 0x03DE
MapInfo 0x30: 0x0972AB, 0x0270
MapInfo 0x31: 0x08FBB9, 0x0364
MapInfo 0x32: 0x096B39, 0x027F
MapInfo 0x33: 0x092298, 0x02E8
MapInfo 0x34: 0x092580, 0x02E5
MapInfo 0x35: 0x0A69AD, 0x007A
MapInfo 0x36: 0x0A636B, 0x00A3
MapInfo 0x37: 0x097ED2, 0x012E
MapInfo 0x38: 0x09EA3D, 0x01CF
MapInfo 0x39: 0x097037, 0x0274
MapInfo 0x3A: 0x095190, 0x029C
MapInfo 0x3B: 0x09A6A2, 0x022A
MapInfo 0x3C: 0x09DD39, 0x01E4
MapInfo 0x3D: 0x09F171, 0x01CA
MapInfo 0x3E: 0x0A3F87, 0x0110
MapInfo 0x3F: 0x0A5392, 0x00DA
MapInfo 0x40: 0x0A09DC, 0x019F
MapInfo 0x41: 0x0A1052, 0x019C
MapInfo 0x42: 0x09DF1D, 0x01E3
MapInfo 0x43: 0x09FA0C, 0x01AC
MapInfo 0x44: 0x09CFD1, 0x01EE
MapInfo 0x45: 0x08AD45, 0x0580
MapInfo 0x46: 0x090362, 0x0359
MapInfo 0x47: 0x09C9E0, 0x0200
MapInfo 0x48: 0x091CAD, 0x02FA
MapInfo 0x49: 0x08ED9F, 0x039A
MapInfo 0x4A: 0x09996A, 0x0238
MapInfo 0x4B: 0x0A5DD4, 0x00BF
MapInfo 0x4C: 0x0956C8, 0x029B
MapInfo 0x4D: 0x0968B9, 0x0280
MapInfo 0x4E: 0x09AD1E, 0x021C
MapInfo 0x4F: 0x092865, 0x02E2
MapInfo 0x50: 0x0A38E6, 0x0122
MapInfo 0x51: 0x09B152, 0x0212
MapInfo 0x52: 0x0979FA, 0x026D
MapInfo 0x53: 0x0A083A, 0x01A2
MapInfo 0x54: 0x0A45BC, 0x00FD
MapInfo 0x55: 0x0A4C6B, 0x00ED
MapInfo 0x56: 0x0A3D5D, 0x0116
MapInfo 0x57: 0x0A6677, 0x008E
MapInfo 0x58: 0x093109, 0x02D7
MapInfo 0x59: 0x0994EE, 0x023E
MapInfo 0x5A: 0x09D1BF, 0x01EE
MapInfo 0x5B: 0x094702, 0x02A9
MapInfo 0x5C: 0x09A011, 0x0235
MapInfo 0x5D: 0x0A42AF, 0x0108
MapInfo 0x5E: 0x095E8C, 0x0291
MapInfo 0x5F: 0x0A2D10, 0x013D
MapInfo 0x60: 0x0A292A, 0x0150
MapInfo 0x61: 0x09AAF6, 0x0228
MapInfo 0x62: 0x094EF3, 0x029D
MapInfo 0x63: 0x092E28, 0x02E1
MapInfo 0x64: 0x0A65E5, 0x0092
MapInfo 0x65: 0x09B575, 0x0210
MapInfo 0x66: 0x0A0B7B, 0x019D
MapInfo 0x67: 0x0A5E93, 0x00BB
MapInfo 0x68: 0x0A0D18, 0x019D
MapInfo 0x69: 0x098269, 0x0262
MapInfo 0x6A: 0x09611D, 0x0290
MapInfo 0x6B: 0x0A640E, 0x009E
MapInfo 0x6C: 0x0A5F4E, 0x00B8
MapInfo 0x6D: 0x09FD64, 0x01AB
MapInfo 0x6E: 0x09CDDF, 0x01F2
MapInfo 0x6F: 0x09D96F, 0x01E6
MapInfo 0x70: 0x09C7DC, 0x0204
MapInfo 0x71: 0x0A47AF, 0x00F5
MapInfo 0x72: 0x093C36, 0x02BB
MapInfo 0x73: 0x0A2523, 0x0159
MapInfo 0x74: 0x0A6929, 0x0084
MapInfo 0x75: 0x09EC0C, 0x01CD
MapInfo 0x76: 0x09A246, 0x0232
MapInfo 0x77: 0x08F840, 0x0379
MapInfo 0x78: 0x08F4C2, 0x037E
MapInfo 0x79: 0x0A64AC, 0x009E
