MonsterHorde 0x00: Echse, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x01: Motte, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x02: Waldpilz, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x03: Protoblob, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x04: Fledermaus, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x05: Kreuzspinne, <none>, Waldpilz, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x06: Moskito, <none>, Motte, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x07: Bioblob, <none>, Protoblob, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x08: Adler, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x09: Babyfrosch, <none>, Moskito, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x0A: Hadeskäfer, <none>, Moskito, Kreuzspinne, <none>, <none>, <none>, <none>
MonsterHorde 0x0B: Schmerzwurm, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x0C: Knallpferd, <none>, Adler, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x0D: Büffel, <none>, Büffel, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x0E: Terrormaus, <none>, Fledermaus, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x0F: Krabbe, <none>, Babyfrosch, Schmerzwurm, <none>, <none>, <none>, <none>
MonsterHorde 0x10: Kobold, Kobold, Kobold, Knallpferd, <none>, <none>, <none>, <none>
MonsterHorde 0x11: Stachelechse, <none>, Echse, Schmerzwurm, Babyfrosch, <none>, <none>, <none>
MonsterHorde 0x12: Megamotte, <none>, Motte, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x13: Plasmablob, <none>, Protoblob, Bioblob, <none>, <none>, <none>, <none>
MonsterHorde 0x14: Imp, <none>, Kobold, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x15: Falke, <none>, Adler, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x16: Nachtechse, <none>, Stachelechse, Skorpion, <none>, <none>, <none>, <none>
MonsterHorde 0x17: Giftechse, <none>, Stachelechse, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x18: Goblin, <none>, Imp, Kobold, <none>, <none>, <none>, <none>
MonsterHorde 0x19: Skorpion, <none>, Stachelechse, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x1A: Kampfkrabbe, <none>, Krabbe, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x1B: Arachna, <none>, Stachelechse, Megamotte, <none>, <none>, <none>, <none>
MonsterHorde 0x1C: Giftkäfer, <none>, Hadeskäfer, Megamotte, <none>, <none>, <none>, <none>
MonsterHorde 0x1D: Chaosbiene, <none>, Giftkäfer, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x1E: Skelettor, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x1F: Panzergoblin, <none>, Goblin, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x20: Blutmaus, <none>, Terrormaus, Fledermaus, <none>, <none>, <none>, <none>
MonsterHorde 0x21: Glatzenwicht, <none>, Holzgolem, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x22: Königsgoblin, Panzergoblin, Goblin, Ork, <none>, <none>, <none>, <none>
MonsterHorde 0x23: Ghoul, <none>, Skelettor, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x24: Holzgolem, <none>, Glatzenwicht, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x25: Minitruhe, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x26: Ork, <none>, Königsgoblin, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x27: Doberbeisser, <none>, Ork, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x28: Wispy, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x29: Haßpilz, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x2A: Kampfork, <none>, Doberbeisser, Ork, <none>, <none>, <none>, <none>
MonsterHorde 0x2B: Antares, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x2C: Kummerhummer, <none>, Antares, Neptunschale, <none>, <none>, <none>, <none>
MonsterHorde 0x2D: Neptunschale, <none>, Kummerhummer, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x2E: Ratzgoblin, Kampfork, Ork, Riesenork, <none>, <none>, <none>, <none>
MonsterHorde 0x2F: Ratzfatz, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x30: Nervendolch, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x31: Riesenork, <none>, Kampfork, Ork, <none>, <none>, <none>, <none>
MonsterHorde 0x32: Echsenmann, <none>, Riesenork, Panzergoblin, <none>, <none>, <none>, <none>
MonsterHorde 0x33: Sabberblob, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x34: Klatscher, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x35: Gülleküken, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x36: Zombie, <none>, Skelettor, Ghoul, <none>, <none>, <none>, <none>
MonsterHorde 0x37: Sandgolem, <none>, Sabberblob, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x38: Seepferd, <none>, Königsfrosch, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x39: Erdviper, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x3A: Torro, <none>, <none>, <none>, <none>, <none>, <none>, <none>
MonsterHorde 0x3B: Königsfrosch, <none>, <none>, <none>, <none>, <none>, <none>, <none>
